,20151231,20160331,20160630,20160930,20161230,20170331,20170630,20170929,20171229,20180330,20180629,20180928,20181228,20190329,20190628,20190930,20191231,20200331,20200630,20200930
232,601288.SH,000625.SZ,600837.SH,601991.SH,600895.SH,600340.SH,600188.SH,600188.SH,000008.SZ,600663.SH,601155.SH,601155.SH,601155.SH,601600.SH,601166.SH,601166.SH,002241.SZ,601933.SH,002602.SZ,600760.SH
233,600115.SH,601169.SH,600886.SH,000898.SZ,600900.SH,600352.SH,600196.SH,600196.SH,000060.SZ,600015.SH,601166.SH,601166.SH,601166.SH,601601.SH,601169.SH,601169.SH,002252.SZ,002555.SZ,002624.SZ,600795.SH
234,601699.SH,600309.SH,601888.SH,002027.SZ,600958.SH,600362.SH,600208.SH,600208.SH,000063.SZ,002074.SZ,601169.SH,601169.SH,601169.SH,601607.SH,601186.SH,601186.SH,002271.SZ,002558.SZ,601669.SH,600809.SH
235,000503.SZ,300024.SZ,601021.SH,600256.SH,600959.SH,600369.SH,600221.SH,600221.SH,000069.SZ,002241.SZ,601186.SH,601186.SH,601186.SH,601611.SH,601198.SH,601198.SH,002294.SZ,601216.SH,601100.SH,600837.SH
236,002415.SZ,601016.SH,601788.SH,002152.SZ,600999.SH,600372.SH,600233.SH,600233.SH,000100.SZ,600233.SH,601198.SH,601198.SH,601198.SH,601618.SH,601211.SH,601211.SH,002304.SZ,601992.SH,601225.SH,600848.SH
237,002065.SZ,002450.SZ,600118.SH,601989.SH,601006.SH,600373.SH,600256.SH,600256.SH,000157.SZ,600900.SH,601211.SH,601211.SH,601211.SH,601628.SH,601212.SH,601212.SH,002311.SZ,603156.SH,601555.SH,601607.SH
238,600005.SH,300015.SZ,601377.SH,600066.SH,601009.SH,600376.SH,600271.SH,600271.SH,000166.SZ,000686.SZ,601212.SH,601212.SH,601212.SH,601633.SH,601216.SH,601216.SH,002352.SZ,002594.SZ,601800.SH,600867.SH
239,601857.SH,601118.SH,601018.SH,600157.SH,601018.SH,600383.SH,600276.SH,600276.SH,000333.SZ,600637.SH,601216.SH,601216.SH,601216.SH,601668.SH,601225.SH,601225.SH,002410.SZ,002601.SZ,002157.SZ,600886.SH
240,600867.SH,002292.SZ,601106.SH,600068.SH,601021.SH,600406.SH,600297.SH,600297.SH,000338.SZ,600871.SH,601225.SH,601225.SH,601225.SH,601669.SH,601228.SH,601228.SH,002411.SZ,002607.SZ,601360.SH,600887.SH
241,002146.SZ,600111.SH,601607.SH,601718.SH,601088.SH,600415.SH,600309.SH,600309.SH,000402.SZ,601018.SH,601228.SH,601228.SH,601228.SH,601688.SH,601229.SH,601229.SH,002415.SZ,002602.SZ,601231.SH,600893.SH
242,300059.SZ,600867.SH,601669.SH,000402.SZ,601099.SH,600446.SH,600332.SH,600332.SH,000413.SZ,300024.SZ,601229.SH,601229.SH,601229.SH,601727.SH,601238.SH,601238.SH,002422.SZ,002624.SZ,300347.SZ,600516.SH
243,601985.SH,600718.SH,000061.SZ,601021.SH,601111.SH,600482.SH,600340.SH,600340.SH,000415.SZ,600369.SH,601238.SH,601238.SH,601238.SH,601766.SH,601288.SH,601288.SH,002456.SZ,601669.SH,603993.SH,600050.SH
244,000166.SZ,000503.SZ,000568.SZ,600271.SH,601118.SH,600485.SH,600352.SH,600352.SH,000423.SZ,002475.SZ,601288.SH,601288.SH,601288.SH,601788.SH,601298.SH,601298.SH,002460.SZ,601360.SH,603288.SH,600522.SH
245,603000.SH,601988.SH,601866.SH,000001.SZ,601127.SH,600489.SH,600362.SH,600362.SH,000425.SZ,000959.SZ,601318.SH,601318.SH,601318.SH,601800.SH,601318.SH,601318.SH,002466.SZ,601225.SH,601238.SH,600030.SH
246,601888.SH,601231.SH,000338.SZ,601179.SH,601155.SH,600498.SH,600369.SH,600369.SH,000503.SZ,002594.SZ,601328.SH,601328.SH,601328.SH,601808.SH,601319.SH,601319.SH,002468.SZ,601555.SH,002714.SZ,600004.SH
247,002450.SZ,000686.SZ,000503.SZ,300003.SZ,601166.SH,600518.SH,600372.SH,600372.SH,000538.SZ,601088.SH,601333.SH,601333.SH,601333.SH,601818.SH,601328.SH,601328.SH,002475.SZ,601800.SH,002773.SZ,600570.SH
