trade_date,close
2018-03-21,4061.0502
2018-03-22,4020.349
2018-03-23,3904.9355
2018-03-26,3879.893
2018-03-27,3913.2689
2018-03-28,3842.7155
2018-03-29,3894.0498
2018-03-30,3898.4977
2018-04-02,3886.9189
2018-04-03,3862.4796
2018-04-04,3854.8625
2018-04-09,3852.9292
2018-04-10,3927.1729
2018-04-11,3938.3434
2018-04-12,3898.6354
2018-04-13,3871.1443
2018-04-16,3808.863
2018-04-17,3748.6412
2018-04-18,3766.282
2018-04-19,3811.843
2018-04-20,3760.8543
2018-04-23,3766.3257
2018-04-24,3843.4886
2018-04-25,3828.7015
2018-04-26,3755.4941
2018-04-27,3756.8765
2018-05-02,3763.6461
2018-05-03,3793.0001
2018-05-04,3774.5981
2018-05-07,3834.1877
2018-05-08,3878.6767
2018-05-09,3871.6152
2018-05-10,3893.0565
2018-05-11,3872.8383
2018-05-14,3909.2933
2018-05-15,3924.0975
2018-05-16,3892.8442
2018-05-17,3864.0507
2018-05-18,3903.0637
2018-05-21,3921.2421
2018-05-22,3906.2081
2018-05-23,3854.5825
2018-05-24,3827.217
2018-05-25,3816.498
2018-05-28,3833.2599
2018-05-29,3804.0093
2018-05-30,3723.3724
2018-05-31,3802.3759
2018-06-01,3770.5891
2018-06-04,3807.5781
2018-06-05,3845.3164
2018-06-06,3837.3511
2018-06-07,3831.0128
2018-06-08,3779.6159
2018-06-11,3779.9818
2018-06-12,3825.9534
2018-06-13,3788.3391
2018-06-14,3773.3655
2018-06-15,3753.4338
2018-06-19,3621.1166
2018-06-20,3635.4436
2018-06-21,3592.965
2018-06-22,3608.9046
2018-06-25,3560.4777
2018-06-26,3531.1112
2018-06-27,3459.2621
2018-06-28,3423.5255
2018-06-29,3510.9845
2018-07-02,3407.9638
2018-07-03,3409.2801
2018-07-04,3363.7473
2018-07-05,3342.4379
2018-07-06,3365.1227
2018-07-09,3459.1837
2018-07-10,3467.5155
2018-07-11,3407.5297
2018-07-12,3481.0559
2018-07-13,3492.6897
2018-07-16,3472.0859
2018-07-17,3449.3773
2018-07-18,3431.3227
2018-07-19,3428.343
2018-07-20,3492.8938
2018-07-23,3525.7503
2018-07-24,3581.7057
2018-07-25,3577.7522
2018-07-26,3536.2456
2018-07-27,3521.2269
2018-07-30,3515.0794
2018-07-31,3517.6568
2018-08-01,3447.3882
2018-08-02,3370.9579
2018-08-03,3315.2839
2018-08-06,3273.2728
2018-08-07,3368.8695
2018-08-08,3314.5075
2018-08-09,3397.5298
2018-08-10,3405.0191
2018-08-13,3390.3441
2018-08-14,3372.9137
2018-08-15,3291.976
2018-08-16,3276.7276
2018-08-17,3229.6198
2018-08-20,3267.2498
2018-08-21,3326.6489
2018-08-22,3307.9545
2018-08-23,3320.0257
2018-08-24,3325.3347
2018-08-27,3406.5735
2018-08-28,3400.1705
2018-08-29,3386.5736
2018-08-30,3351.0942
2018-08-31,3334.5036
2018-09-03,3321.8248
2018-09-04,3363.8984
2018-09-05,3298.1412
2018-09-06,3262.8808
2018-09-07,3277.6438
2018-09-10,3230.0681
2018-09-11,3224.2116
2018-09-12,3202.0248
2018-09-13,3236.5662
2018-09-14,3242.0902
2018-09-17,3204.9224
